Date,gold,copper,aluminum,cocoa,coffee,cotton,crude_oil,natural_gas
2015-01-05,0.01498000666245465,-0.016159470875211326,-0.00938212708208857,0.00579119315688102,0.04284418199706667,0.018788436044161333,-0.05160295426297497,-0.04112730899951579
2015-01-06,0.01271065639212335,0.003930652983774194,-0.0017471322363972963,-0.014369046404633667,0.03965527040397545,-0.008436049073816041,-0.04308108435596634,0.01924457842858925
2015-01-07,-0.00716087932157311,-0.002857108064780324,0.00951393647965511,0.0034399758724434804,0.0008573177069272669,0.00381331043534979,0.014910220457776853,-0.023068646340517012
2015-01-08,-0.0018188935745322122,0.003926443784455222,0.01728621831024882,0.02509456878255902,0.010512901828797232,0.0021489563821910944,0.002873552595966013,0.019317604272720536
2015-01-09,0.006269592809968894,-0.005895504931094439,-0.006261761223976222,-0.006046373811864673,0.017650040381279118,0.003297018297306812,-0.008852354224805237,0.006470328358053212
2015-01-12,0.013640062420648448,-0.009903714506078017,0.0039892912084250635,0.008721960692302667,-0.018498302267703815,-0.017097251022703267,-0.04851106604394215,-0.05261621780350477
2015-01-13,0.0012972013624871278,-0.030873496542787756,-0.0037609024898349096,-0.00100250634962559,0.0011308847683486327,0.007007068708250334,-0.0039147572172250344,0.05159736191965708
2015-01-14,8.099451778340471e-05,-0.04817442574046583,-0.008255034266576436,0.0003342804644198897,0.01625601453330218,-0.019643072162789998,0.05490411721231432,0.09398101530920686
2015-01-15,0.0242498594504341,0.022464185293218645,0.01451537000489327,-0.00502597807859147,-0.017952864824640646,0.008609863788288812,-0.04708986836030483,-0.023471597714951657
2015-01-16,0.009600383272961813,0.016334639346259814,0.017769248459623018,-0.011826459854393533,-0.03250678275103252,-0.004380096853785933,0.051412178031389144,-0.009864805053753926
2015-01-20,0.013457421344314642,-0.014612678820358152,-0.000334466807287676,-0.005795141495425973,-0.039969512885135706,-0.024612396388295044,-0.04838973638313529,-0.09944407056841445
2015-01-21,-0.0003864137138910775,-0.0001911724552296598,0.011199318695571824,-0.025273978131770267,-0.01873808794164227,0.003799614371877667,0.029523210742563026,0.04927780254648166
2015-01-22,0.005396251348961029,-0.005560325859378604,0.0022028866712026133,-0.018044006274077994,-0.0080947083598037,-0.00431891501863628,-0.0312491662022827,-0.047865889706431734
2015-01-23,-0.00624686858857903,-0.024524468519765023,-0.01921747561301088,-0.01655905367309362,0.015508996013202648,-0.007995855119373039,-0.015669552574658685,0.051892768922001765
